Site name,Country,State/Region,Latitude,Longitude,Profile name,Thickness range,Mean thickness (cm),LLST,MLST,MLST-A,MLST-B,MLST-C,MLST-C1,MLST-C2,MLST-C3,ULST,Various,Phase uncertainty,Distance from vent (km),Altitude (m),Depth of tephra layer (cm),Fan direction...23,Fan direction...24,Associated archaeology,Primary,Secondary,Reworked,Fall,Fluvial,XRF,Heavy minerals,Trace elements,Grain size distribution,Shard morphology,Comments,Reference1,Reference2,Reference3,Reference4,Reference5,Reference6,Update,Regional co-ordinates...62,Regional co-ordinates...63,unique_id
Höllerer See,Austria,Oberöstreich,48.02694,12.89047,HÖLL 89,0.1 - 0.2,0.15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,490,NA,247,S,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Yes,NA,"Klee, R., R. Schmidt, and J. Müller. “Alleröd Diatom Assemblages in Prealpine Hardwater Lakes of Bavaria and Austria as Preserved by the Laacher See Eruption Event.” Limnologica 23, no. 2 (1993): 131–43.",NA,NA,NA,NA,NA,Update,NA,NA,1
Gasserplatz,Austria,Vorarlberg,47.242452,9.626282,Gasserplatz-2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,383,S,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Yes,NA,"Mourik, Jan M. van, Ruud T. Slotboom, Johannes van der Plicht, Harm Jan Streurman, Wim J. Kuijper, Wim Z. Hoek, and Leo W. S. de Graaff. “Geochronology of Betula Extensions in Pollen Diagrams of Alpine Late-Glacial Lake Deposits: A Case Study of the Late-Glacial Deposits of the Gasserplatz Soil Archives (Vorarlberg, Austria).” Quaternary International 306: 3–13. http://dx.doi.org/10.1016/j.quaint.2013.04.018.",NA,NA,NA,NA,NA,NA,NA,NA,2
Vance,Belgium,Etalle,49.670278,5.6675,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,140,NA,NA,W,3,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"Hulshof, A. K., P. D. Jungerius, and P. A. Riezebos. “A Late-Glacial Volcanic Ash Deposit in Southeastern Belgium.” Geologie En Mijnbouw 47, no. 2 (1968): 106–11.","Juvigné, Etienne H. “Révision de l’âge Des Volcans de l’Eifel Occidental.” Zeitschrift Für Geomorphologie N.F. 24 (1980): 345–55.","Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.",NA,NA,NA,NA,NA,NA,3
Weerde,Belgium,Flemish Brabant,50.97242,4.480845,NA,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Juvigné, Etienne H. “Zone de Dispersion et Âge Des Poussières Volcaniques Du Tuf de Rocourt.” Annales de La Société Géologique de La Belgique 100 (1977): 13–22.","Kleber, Arno. “Heavy-Mineral Analysis as a Tool in Tephrochronology, with an Example from the La Sal Mountains, Utah, U.S.A.” Geologos 19, no. 1–2 (2013): 87–94. https://doi.org/10.2478/logos-2013-0006.",NA,NA,NA,NA,NA,NA,NA,4
Konnerzvenn,Belgium,Hautes Fagnes,50.585278,6.129444,ONO-ESE (Konnerzvenn); B1-B5 and D1-D5,0.2 - 0.3,0.25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,80,NA,NA,W,3,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,C-14 date: 11030+/-160 BP (GrN8891),"Kleber, Arno. “Heavy-Mineral Analysis as a Tool in Tephrochronology, with an Example from the La Sal Mountains, Utah, U.S.A.” Geologos 19, no. 1–2 (2013): 87–94. https://doi.org/10.2478/logos-2013-0006.","Pissart, Albert. “The Remnants of Younger Dryas Lithalsas on the Hautes Fagnes Plateau in Belgium and Elsewhere in the World.” Geomorphology 52, no. 1–2 (2003): 5–38.","Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.",NA,NA,NA,NA,NA,NA,5
Brackvenn,Belgium,Hautes Fagnes,50.534444,6.023611,C1-C5,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,W,3,NA,1,NA,NA,1,NA,NA,1,NA,Yes,NA,NA,"Juvigné, Etienne H. “Two Different Volcanic Ash-Falls of Allerød Age in High Belgium.” Geologie En Mijnbouw 62 (1983): 545–49.","Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.",NA,NA,NA,NA,NA,NA,NA,6
Trou Jadot,Belgium,Liege,50.477779,5.580753,CRS/CCSA/CCSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,3,Federmessergruppen below,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Toussaint, Michel, and Angelika Becker. “Le Paléolithique Supérieur Récent Du Trou Jadot à Comblain-Au-Pont (Province de Liège, Belgique) et Son Paléoenvironnement.” Bulletin de La Société Préhistorique Française 89, no. 1 (1992): 12–18.",NA,NA,NA,NA,NA,Update 7,NA,NA,7
Trou Walou,Belgium,Liege,50.585278,5.536389,Pirson et al. (2004),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,3,Federmessergruppen in association,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Renson, V., Etienne H. Juvigné, and C. Draily. “Intérêt de La Téphrostratigraphie Dans Le Site Archéologique et Paléontologique Du Pléistocène Supérieur et de l’Holocène de La Grotte Walou (Trooz, Belgique).” In Hommes et Volcans. De l’éruption à l’objet, edited by Jean-Paul Raynal, Claude Alborelivadie, and M. Piperno, 23–30. Clermond-Ferrand: Les dossiers de l’Archéo-Logis, 2002.","Pirson, Stéphane, Christelle Draily, M. Court-Picon, Freddy Damblon, and Paul Haesaerts. “La Nouvelle Séquence Stratigraphique de La Grotte Walou (Belgique).” Notae Praehistoricae 24 (2004): 31–45.","Pirson, Stéphane, Damien Flas, Grégory Abrams, Dominique Bonjean, Mona Court-Picon, Kévin Di Modica, Christelle Draily, et al. “Chronostratigraphic Context of the Middle to Upper Palaeolithic Transition: Recent Data from Belgium.” Quaternary International 259, no. 0 (2012): 78–94. http://dx.doi.org/10.1016/j.quaint.2011.03.035.","Lacroix, D. “Les Minéraux Denses Transparents Des Dépôts de La Grotte Walou à Trooz (Province de Liège, Belgique).” In Recherches à La Grotte Walou à Trooz (Province de Liège, Belgique). Premier Rapport de Fouille, edited by M. C. Dewez, 25–31. Liège: Société Wallonne de Palethnologie, 1993.",NA,NA,NA,NA,NA,8
Prés de Neucy,Belgium,Liege,50.282804,5.803347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Denis, Anne-Cécile, Cécile Wastiaux, François Petit, Louis Leclercq, Étienne Juvigné, Jean Van Campenhout, and Geoffrey Houbrechts. “The Dynamics of the Lienne River (Ardenne Region) since the Late Glacial Based on the Geomorphological and Chronostratigraphic Analysis of a Valley Floor Peat Deposit.” Géomorphologie: Relief, Processus, Environnement 2013, no. 2 (2013): 133–52.",NA,NA,NA,NA,NA,NA,NA,NA,9
Troubière des Prés de Neucy,Belgium,Liege,50.3628,5.7258,"Nam01, Nam03, Nam06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,3,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"Denis, Anne-Cécile, Cécile Wastiaux, François Petit, Louis Leclercq, Étienne Juvigné, Jean Van Campenhout, and Geoffrey Houbrechts. “The Dynamics of the Lienne River (Ardenne Region) since the Late Glacial Based on the Geomorphological and Chronostratigraphic Analysis of a Valley Floor Peat Deposit.” Géomorphologie: Relief, Processus, Environnement 2013, no. 2 (2013): 133–52.",NA,NA,NA,NA,NA,NA,NA,NA,10
